model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,noise_dims,shuffle_label_frac,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,PEN_IRM_L0,PEN_IRM_L1,PEN_IRM_L2,PEN_n_regions,PEN_ACTS_L2,PEN_IRM_entropy,n_parameters,depth,width,kernel_trace,head_norm
deep_relu,0,1000,8192,0,1,True,0,None,1,1000,0.01,32,0,None,True,False,0.401,0.23265468867076014,0.4171142578125,0.23538539803203246,1.0,316.0,316.0,2,753.4666548693446,0.0,1.0,316.0,316.0,2,753.4666548693446,0.0,7,1,1,28.831707,0.86723304
deep_relu,0,1000,8192,0,1,True,0,None,2;2,1000,0.01,32,0,None,True,False,0.403,0.23265669444255424,0.4156494140625,0.23522394209432046,2.0,162.25,155.61511012751942,3,713.7744741863497,0.1736371487480881,1.0,148.0,148.0,2,763.6962747061164,0.0,18,2,2,21.48587,0.913959
deep_relu,0,1000,8192,0,1,True,0,None,3;3;3,1000,0.01,32,0,None,True,False,0.31899999999999995,0.20239436825140356,0.32421875,0.20871949201671292,7.0,471.22222222222234,402.98223163353714,8,487.9016294295398,0.5600112316825833,3.0,587.6666666666665,476.8264301026573,5,598.9373923875517,0.6208073158133627,41,3,3,131.10721,0.9905004
deep_relu,0,1000,8192,0,1,True,0,None,4;4;4;4,1000,0.01,32,0,None,True,False,0.364,0.21762188681969732,0.389404296875,0.2298077674804171,13.0,411.875,348.86457571312684,18,339.8617365929857,0.6631741922229185,2.0,484.0,476.20163796442364,2,938.185482727163,0.08304724506097623,82,4,4,123.77723,1.3876319
deep_relu,0,1000,8192,0,1,True,0,None,20;20;20;20;20,1000,0.01,32,0,None,True,False,0.22199999999999998,0.15303514057456385,0.27294921875,0.18167570098753416,95.0,298.81,222.35526506021844,352,76.18398781896364,1.1795190047222648,17.0,229.80000000000004,170.70360277393095,16,374.4115382837447,0.9421659783436531,1782,5,20,31.662327,1.2204247
deep_relu,0,1000,8192,0,1,True,0,None,20;20;20;20;20;20,1000,0.01,32,0,None,True,False,0.21499999999999997,0.14950938757256516,0.275634765625,0.18299629805809614,119.0,400.5833333333331,288.0433925161661,501,65.6505902486794,1.302173345147725,20.0,308.95,211.13206175282806,43,270.03703449712225,1.256241772787142,2202,6,20,33.334587,1.3160516
deep_relu,0,1000,8192,0,1,True,0,None,20;20;20;20;20;20;20,1000,0.01,32,0,None,True,False,0.21699999999999997,0.1510815159485342,0.277587890625,0.18189437096242006,140.0,493.40714285714307,392.6235860937839,578,56.19608527290847,1.027759543493199,20.0,452.4499999999999,362.102233492145,43,378.4864594671783,0.7898678463314017,2622,7,20,36.13732,1.2240217
deep_relu,0,1000,8192,0,1,True,0,None,20;20;20;20;20;20;20;20,1000,0.01,32,0,None,True,False,0.43200000000000005,0.24934383924029,0.4449462890625,0.24944547252406946,138.0,405.06875000000076,390.9806624354171,54,307.48658507323535,0.20303471772669238,4.0,149.99999999999997,149.99999999999997,1,1000.0,1.8528382825835986e-15,3042,8,20,1.3212541,1.348727
deep_relu,0,1000,8192,0,1,True,0,None,20;20;20;20;20;20;20;20;20,1000,0.01,32,0,None,True,False,0.21299999999999997,0.15118406075091456,0.2769775390625,0.18171148751128802,180.0,422.82777777777767,333.1759622496612,630,50.774009099144415,1.0654566899978164,20.0,400.05,306.83209170489323,20,341.2037514447929,0.8625383446013917,3462,9,20,46.755516,1.1143287
deep_relu,0,1000,8192,0,1,True,0,None,20;20;20;20;20;20;20;20;20;20,1000,0.01,32,0,None,True,False,0.21399999999999997,0.15030883824134345,0.276123046875,0.1821983313513699,198.0,419.46,321.2033144287275,674,45.86937976471886,1.1282649626136942,18.0,297.55000000000007,226.01571294934345,12,441.9253330597829,0.8765198096254784,3882,10,20,40.15939,1.230916
deep_relu,0,1000,8192,0,1,True,0,None,20;20;20;20;20;20;20;20;20;20;20,1000,0.01,32,0,None,True,False,0.21699999999999997,0.1520032163449559,0.274169921875,0.18061974566117006,217.0,485.0681818181822,434.6323703729775,500,60.58052492344384,0.6119085011511104,16.0,154.15,137.4028474959671,7,827.6738488076085,0.40619678552187016,4302,11,20,32.540337,1.6186955
