model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,early_stop_thresh,bias,init_prior_model,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_parameters,depth,width,weights_L2
relu_regressor,0,1024,8192,0,1.0,True,4,500,0.01,32,0,0,True,True,0.30078125,0.1957895891570336,0.3197021484375,0.20864653697025995,4.0,530.75,406.40796928702076,5,670.6608680995187,3,5,0.6905798119737003,1.225920490941343,530.75,16.73506797117956,96.18438720703125,6.873596361449996,22,1,4,3.0820591
relu_regressor,0,1024,8192,0,1.0,True,8,500,0.01,32,0,0,True,True,0.265625,0.17772863558083024,0.2926025390625,0.1918065407513428,8.0,576.6249999999999,486.28963527408223,9,481.3834230631545,5,9,0.5907703170319496,1.9338987784184716,576.625,18.199845466376907,59.83943176269531,6.918767830739509,42,1,8,3.791236
relu_regressor,0,1024,8192,0,1.0,True,12,500,0.01,32,0,0,True,True,0.2265625,0.16447151137080349,0.2740478515625,0.18038658657893494,11.0,472.83333333333337,410.17951693266093,10,432.571381392713,5,10,0.5419539454398196,2.1797133139992484,472.83333333333337,14.915037154943107,33.78595648871556,6.923105013953092,62,1,12,4.4675665
relu_regressor,0,1024,8192,0,1.0,True,16,500,0.01,32,0,0,True,True,0.228515625,0.16324801256665117,0.2728271484375,0.17969558856378728,14.0,448.68749999999983,384.34494293050074,19,407.3057819378458,3,19,0.5888384724750911,2.433799281863024,448.6875,14.150281578470445,23.69351577758789,6.921222325204766,82,1,16,4.879197
relu_regressor,0,1024,8192,0,1.0,True,24,500,0.01,32,0,0,True,True,0.2265625,0.16264813912399317,0.2733154296875,0.17953246531481915,24.0,483.5833333333333,422.71358013829337,33,304.04604914387556,3,0,0.5740802382622131,3.1375413625961897,483.5833333333333,15.148913602411671,17.500739203559107,6.926393847371824,122,1,24,5.2256494
relu_regressor,0,1024,8192,0,1.0,True,32,500,0.01,32,0,0,True,True,0.2265625,0.16211822136276832,0.273681640625,0.1794409525669864,27.0,544.3437499999999,490.5106305789279,38,258.3176339315611,3,0,0.49112825613938665,3.9079550722052208,544.34375,17.03360075519853,15.272112846374512,6.928673564605974,162,1,32,5.502723
relu_regressor,0,1024,8192,0,1.0,True,64,500,0.01,32,0,0,True,True,0.2294921875,0.1611720575283493,0.2742919921875,0.1792307070000569,63.0,453.984375,420.3529119164522,56,213.75687123458746,3,0,0.40174659979325156,5.121772959671997,453.984375,14.19782973347071,6.5581395626068115,6.930302656944309,322,1,64,5.8798776
relu_regressor,0,1024,8192,0,1.0,True,128,500,0.01,32,0,0,True,True,0.2275390625,0.16022446228878007,0.2723388671875,0.17886490218506176,120.0,447.5000000000001,422.55919114312394,129,161.72198366332265,1,0,0.33721306113305194,7.264362840849878,447.5,13.990444737223777,3.2981854677200317,6.930830899162602,642,1,128,6.2365303
relu_regressor,0,1024,8192,0,1.0,True,256,500,0.01,32,0,0,True,True,0.2265625,0.15948446608969669,0.2723388671875,0.1786691103308728,255.0,485.68750000000006,463.44140544333857,263,124.16923934694937,1,0,0.29779981078556367,10.75886055156595,485.6875,15.184486623959438,1.8086418807506561,6.930903341967717,1282,1,256,6.657647
relu_regressor,0,1024,8192,0,1.0,True,512,1000,0.01,32,0,0,True,True,0.2255859375,0.16212153259424186,0.272216796875,0.18044411447690611,490.0,512.7753906250008,497.6118280640957,216,137.78243719719867,1,0,0.19428505505534824,15.771714001569464,512.775390625,16.02613615153415,0.9716678224503994,6.931299364220487,2562,1,512,4.4545135
relu_regressor,0,1024,8192,0,1.0,True,1024,1000,0.01,32,0,0,True,True,0.2255859375,0.16218513079352134,0.2734375,0.1803978566017141,951.0,511.54003906250097,501.45118623856257,275,154.0519392932137,1,0,0.1377047789375288,22.39108135346641,511.5400390625,15.987349665026677,0.4896098868921399,6.9313566561274955,5122,1,1024,5.0648956
relu_regressor,0,1024,8192,0,1.0,True,2048,1000,0.01,32,0,0,True,True,0.2275390625,0.16246644665270965,0.2734375,0.18057058664305214,1024.0,495.58007812500057,486.59124230156397,374,126.75172582651489,1,0,0.12696569046521738,31.194273983210437,495.580078125,15.487648072354638,0.23756902571767569,6.9313982412810144,10242,1,2048,5.8793745
